,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,movie_id,runtime_minutes,genres
603,2013-08-09,planes,50.0,90.28258,238.059569,188.059569,tt1691917,91.0,"Adventure,Animation,Comedy"
604,2017-07-28,the emoji movie,50.0,86.089513,216.562312,166.562312,tt4877122,86.0,"Adventure,Animation,Comedy"
605,2011-07-29,"crazy, stupid, love.",50.0,84.351197,147.142328,97.14232799999999,tt1570728,118.0,"Comedy,Drama,Romance"
606,2017-12-22,the post,50.0,81.903458,179.74888,129.74888,tt6294822,116.0,"Biography,Drama,History"
607,2011-12-23,we bought a zoo,50.0,75.62455,118.729073,68.729073,tt1389137,124.0,"Comedy,Drama,Family"
608,2011-09-23,moneyball,50.0,75.605492,111.300835,61.300835000000006,tt1210166,133.0,"Biography,Drama,Sport"
609,2014-07-18,planes: fire & rescue,50.0,59.157732,156.399644,106.399644,tt2980706,83.0,"Adventure,Animation,Comedy"
610,2012-04-06,american reunion,50.0,56.758835,236.799211,186.799211,tt1605630,113.0,Comedy
611,2013-01-25,hansel & gretel: witch hunters,50.0,55.703475,214.949716,164.949716,tt1428538,88.0,"Action,Fantasy,Horror"
612,2011-02-18,i am number four,50.0,55.100437,146.195159,96.19515899999999,tt1464540,111.0,"Action,Adventure,Sci-Fi"
613,2016-01-15,13 hours,50.0,52.853219,69.41137,19.411370000000005,tt4172430,144.0,"Action,Drama,History"
614,2017-09-29,american made,50.0,51.342,135.569212,85.569212,tt3532216,115.0,"Action,Biography,Comedy"
615,2014-10-17,the book of life,50.0,50.151543,97.651543,47.651543000000004,tt2262227,95.0,"Adventure,Animation,Comedy"
619,2014-08-08,into the storm,50.0,47.602194,150.429371,100.429371,tt2106361,89.0,"Action,Adventure,Drama"
620,2014-10-10,the judge,50.0,47.119388,76.119388,26.119388,tt1872194,141.0,"Crime,Drama"
622,2016-08-19,war dogs,50.0,43.034523,86.234503,36.234503000000004,tt2005151,114.0,"Comedy,Crime,Drama"
623,2016-05-20,the nice guys,50.0,36.261763,59.596747,9.596747,tt3799694,116.0,"Action,Comedy,Crime"
624,2010-06-04,marmaduke,50.0,33.644788,89.89593,39.89593000000001,tt1392197,87.0,"Comedy,Family"
625,2010-10-15,hereafter,50.0,32.746941,108.66027,58.66027,tt1212419,129.0,"Drama,Fantasy,Romance"
