id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
93,20-Oct-00,The Yards,"$20,000,000 ","$882,710 ","$2,282,710 ",,The Yards,,,,,#VALUE!,0
94,6-Aug-10,Middle Men,"$20,000,000 ","$754,301 ","$754,301 ",,Middle Men,,,,,#VALUE!,0
95,28-Apr-17,JàÂ¬yàÂ¬ dàÂ shÃ„Â«,"$20,000,000 ","$587,470 ","$43,888,531 ",,JàÂ¬yàÂ¬ dàÂ shÃ„Â«,,,,,16,1
96,3-Dec-10,All Good Things,"$20,000,000 ","$582,024 ","$873,617 ",,All Good Things,,,,,#VALUE!,0
97,13-Nov-15,By the Sea,"$20,000,000 ","$538,460 ","$3,727,746 ",,By the Sea,,,,,#VALUE!,0
98,18-Mar-05,Steamboy,"$20,000,000 ","$468,867 ","$10,468,867 ",,Steamboy,,,,,#VALUE!,0
99,22-Apr-05,The Game of Their Lives,"$20,000,000 ","$375,474 ","$375,474 ",,The Game of Their Lives,,,,,#VALUE!,0
100,11-Sep-94,Rapa Nui,"$20,000,000 ","$305,070 ","$305,070 ",,Rapa Nui,,,,,#VALUE!,0
1,10-Dec-10,The Tempest,"$20,000,000 ","$277,943 ","$277,943 ",,The Tempest,,,,,#VALUE!,0
2,7-Mar-08,CJ7,"$20,000,000 ","$206,678 ","$47,300,771 ",,Ã©Â•Â·Ã¦Â±ÂŸÃ¤Â¸ÂƒÃ¨Â™ÂŸ (CJ7),,,,,1,1
3,18-Sep-09,The Burning Plain,"$20,000,000 ","$200,730 ","$1,167,092 ",,The Burning Plain,,,,,#VALUE!,0
4,27-Mar-98,Les Couloirs du temps: Les visiteurs 2,"$20,000,000 ","$146,072 ","$26,146,072 ",,Les Couloirs du temps: Les visiteurs 2,,,,,#VALUE!,0
5,25-Apr-03,People I Know,"$20,000,000 ","$121,972 ","$5,694,213 ",,People I Know,,,,,#VALUE!,0
6,30-Oct-15,Regression,"$20,000,000 ","$55,039 ","$15,824,374 ",,Regression,,,,,#VALUE!,0
7,31-Dec-08,Admiral,"$20,000,000 ",$0 ,"$38,585,047 ",,Admiral,,,,,#VALUE!,0
8,31-Dec-12,Zambezia,"$20,000,000 ",$0 ,"$34,454,336 ",,Zambezia,,,,,#VALUE!,0
9,13-Apr-10,Three Kingdoms: Resurrection of the Dragon,"$20,000,000 ",$0 ,"$22,139,590 ",,Three Kingdoms: Resurrection of the Dragon,,,,,#VALUE!,0
10,31-Mar-04,The Touch,"$20,000,000 ",$0 ,"$5,918,742 ",,The Touch,,,,,#VALUE!,0
11,29-May-15,Survivor,"$20,000,000 ",$0 ,"$1,703,281 ",,Survivor,,,,,#VALUE!,0
12,18-Nov-16,The History of Love,"$20,000,000 ",$0 ,"$476,624 ",,The History of Love,,,,,#VALUE!,0
13,25-Dec-07,Butterfly on a Wheel,"$20,000,000 ",$0 ,$0 ,,Butterfly on a Wheel,,,,,#VALUE!,0
14,29-Aug-14,Dwegons and Leprechauns,"$20,000,000 ",$0 ,$0 ,,Dwegons and Leprechauns,,,,,#VALUE!,0
15,22-Jul-16,Fight Valley,"$20,000,000 ",$0 ,$0 ,,Fight Valley,,,,,#VALUE!,0
16,31-Dec-17,The Thousand Miles,"$20,000,000 ",$0 ,$0 ,,The Thousand Miles,,,,,#VALUE!,0
17,13-Dec-18,Bird Box,"$19,800,000 ",$0 ,$0 ,,Bird Box,,,,,#VALUE!,0
18,21-Aug-09,Der Baader Meinhof Komplex,"$19,700,000 ","$476,270 ","$16,498,827 ",,Der Baader Meinhof Komplex,,,,,#VALUE!,0
19,1-Dec-17,The Shape of Water,"$19,500,000 ","$63,859,435 ","$195,790,794 ",,The Shape of Water,,,,,#VALUE!,0
20,23-Nov-12,De rouille et d'os,"$19,500,000 ","$2,061,449 ","$29,393,634 ",,De rouille et d'os,,,,,#VALUE!,0
21,20-Dec-06,The Painted Veil,"$19,400,000 ","$8,060,487 ","$15,118,795 ",,The Painted Veil,,,,,#VALUE!,0
22,23-Aug-13,The Frozen Ground,"$19,200,000 ",$0 ,"$5,617,460 ",,The Frozen Ground,,,,,#VALUE!,0
23,29-Jul-11,The Devil's Double,"$19,100,000 ","$1,361,512 ","$5,965,646 ",,The Devil's Double,,,,,#VALUE!,0
24,3-Jul-85,Back to the Future,"$19,000,000 ","$212,259,762 ","$385,524,784 ",,Back to the Future,,,,,#VALUE!,0
25,9-Nov-90,Dances with Wolves,"$19,000,000 ","$184,208,842 ","$424,200,000 ",,Dances with Wolves,,,,,#VALUE!,0
26,7-Jul-00,Scary Movie,"$19,000,000 ","$157,019,771 ","$277,200,000 ",,Scary Movie,,,,,#VALUE!,0
27,24-Jun-11,Bad Teacher,"$19,000,000 ","$100,292,856 ","$215,448,997 ",,Bad Teacher,,,,,#VALUE!,0
28,12-Aug-16,Sausage Party,"$19,000,000 ","$97,670,358 ","$141,344,255 ",,Sausage Party,,,,,#VALUE!,0
29,15-Sep-89,Sea of Love,"$19,000,000 ","$58,571,513 ","$58,571,513 ",,Sea of Love,,,,,#VALUE!,0
30,10-Jan-03,Just Married,"$19,000,000 ","$56,127,162 ","$101,564,935 ",,Just Married,,,,,#VALUE!,0
31,11-Sep-09,I Can Do Bad All By Myself,"$19,000,000 ","$51,733,921 ","$51,733,921 ",,I Can Do Bad All By Myself,,,,,#VALUE!,0
32,16-Jul-04,A Cinderella Story,"$19,000,000 ","$51,438,175 ","$70,164,105 ",,A Cinderella Story,,,,,#VALUE!,0
33,23-May-80,The Shining,"$19,000,000 ","$44,017,374 ","$44,728,227 ",,The Shining,,,,,#VALUE!,0
34,26-Oct-01,Thirteen Ghosts,"$19,000,000 ","$41,867,960 ","$68,467,960 ",,Thirteen Ghosts,,,,,#VALUE!,0
35,29-Oct-99,House on Haunted Hill,"$19,000,000 ","$40,846,082 ","$65,090,541 ",,House on Haunted Hill,,,,,#VALUE!,0
36,26-Feb-10,The Crazies,"$19,000,000 ","$39,123,589 ","$56,445,534 ",,The Crazies,,,,,#VALUE!,0
37,16-Jan-09,Notorious,"$19,000,000 ","$36,843,682 ","$44,972,183 ",,Notorious,,,,,#VALUE!,0
38,2-Nov-18,Nobody's Fool,"$19,000,000 ","$31,713,110 ","$32,589,493 ",,Nobody's Fool,,,,,#VALUE!,0
39,20-Aug-10,The Switch,"$19,000,000 ","$27,758,465 ","$49,858,465 ",,The Switch,,,,,#VALUE!,0
40,8-Jan-10,Leap Year,"$19,000,000 ","$25,918,920 ","$32,618,920 ",,Leap Year,,,,,#VALUE!,0
41,8-Nov-13,The Book Thief,"$19,000,000 ","$21,488,481 ","$76,086,711 ",,The Book Thief,,,,,#VALUE!,0
42,19-Oct-07,"Gone, Baby, Gone","$19,000,000 ","$20,300,218 ","$34,352,162 ",,"Gone, Baby, Gone",,,,,#VALUE!,0
43,26-Jul-00,Thomas and the Magic Railroad,"$19,000,000 ","$15,911,332 ","$15,911,332 ",,Thomas and the Magic Railroad,,,,,#VALUE!,0
44,8-Nov-62,Mutiny on The Bounty,"$19,000,000 ","$13,680,000 ","$13,680,000 ",,Mutiny on The Bounty,,,,,#VALUE!,0
45,20-Sep-02,Sen to Chihiro no Kamikakushi,"$19,000,000 ","$10,049,886 ","$274,949,886 ",,Sen to Chihiro no Kamikakushi,,,,,#VALUE!,0
46,17-Oct-08,Sex Drive,"$19,000,000 ","$8,402,485 ","$10,412,485 ",,Sex Drive,,,,,#VALUE!,0
47,9-Jan-98,Firestorm,"$19,000,000 ","$8,123,860 ","$8,123,860 ",,Firestorm,,,,,#VALUE!,0
48,4-Mar-11,Take Me Home Tonight,"$19,000,000 ","$6,928,068 ","$7,576,604 ",,Take Me Home Tonight,,,,,#VALUE!,0
49,28-Sep-12,Won't Back Down,"$19,000,000 ","$5,310,554 ","$5,745,503 ",,Won't Back Down,,,,,#VALUE!,0
50,1-Jun-18,Action Point,"$19,000,000 ","$5,059,608 ","$5,103,675 ",,Action Point,,,,,#VALUE!,0
51,1-Jan-64,The Fall of the Roman Empire,"$19,000,000 ","$4,750,000 ","$4,750,000 ",,The Fall of the Roman Empire,,,,,#VALUE!,0
52,24-Nov-93,The Nutcracker,"$19,000,000 ","$2,119,994 ","$2,119,994 ",,The Nutcracker,,,,,#VALUE!,0
53,13-Dec-11,George Balanchine\'s The Nutcracker,"$19,000,000 ","$2,119,994 ","$2,119,994 ",,George Balanchine\'s The Nutcracker,,,,,#VALUE!,0
54,16-Aug-96,Kansas City,"$19,000,000 ","$1,353,824 ","$1,353,824 ",,Kansas City,,,,,#VALUE!,0
55,8-Mar-16,Out of the Inferno,"$19,000,000 ",$0 ,$0 ,,Out of the Inferno,,,,,#VALUE!,0
56,24-Jun-05,George A. Romero's Land of the Dead,"$18,975,000 ","$20,700,082 ","$47,751,015 ",,George A. Romero's Land of the Dead,,,,,#VALUE!,0
57,15-Dec-06,Indigènes,"$18,900,000 ","$320,700 ","$26,063,572 ",,Indigènes,,,,,#VALUE!,0
58,15-Apr-05,The Amityville Horror,"$18,500,000 ","$65,233,369 ","$109,175,673 ",,The Amityville Horror,,,,,#VALUE!,0
59,6-Dec-02,Adaptation,"$18,500,000 ","$22,498,520 ","$32,531,759 ",,Adaptation,,,,,#VALUE!,0
60,2-Oct-09,The Invention of Lying,"$18,500,000 ","$18,451,251 ","$32,679,264 ",,The Invention of Lying,,,,,#VALUE!,0
61,22-May-98,Fear and Loathing in Las Vegas,"$18,500,000 ","$10,680,275 ","$13,711,903 ",,Fear and Loathing in Las Vegas,,,,,#VALUE!,0
62,4-Jul-08,Ne le dis à personne,"$18,500,000 ","$6,198,883 ","$33,954,018 ",,Ne le dis à personne,,,,,#VALUE!,0
63,2-Feb-01,Left Behind,"$18,500,000 ","$4,221,341 ","$4,221,341 ",,Left Behind,,,,,#VALUE!,0
64,9-May-14,Neighbors,"$18,000,000 ","$150,086,800 ","$270,944,428 ",,Neighbors,,,,,#VALUE!,0
65,3-Nov-06,Borat,"$18,000,000 ","$128,505,958 ","$261,443,242 ",,Borat,,,,,#VALUE!,0
66,29-Jul-94,The Mask,"$18,000,000 ","$119,920,129 ","$351,620,129 ",,The Mask,,,,,#VALUE!,0
67,3-Jun-88,Big,"$18,000,000 ","$114,968,774 ","$151,668,774 ",,Big,,,,,#VALUE!,0
68,13-Jul-01,Legally Blonde,"$18,000,000 ","$96,493,426 ","$141,809,235 ",,Legally Blonde,,,,,#VALUE!,0
69,30-Apr-04,Mean Girls,"$18,000,000 ","$86,047,227 ","$130,953,026 ",,Mean Girls,,,,,#VALUE!,0
70,1-Jun-84,Star Trek III: The Search for Spock,"$18,000,000 ","$76,471,046 ","$87,000,000 ",,Star Trek III: The Search for Spock,,,,,#VALUE!,0
71,9-Sep-05,The Exorcism of Emily Rose,"$18,000,000 ","$75,072,454 ","$144,529,078 ",,The Exorcism of Emily Rose,,,,,#VALUE!,0
72,10-Dec-99,Deuce Bigalow: Male Gigolo,"$18,000,000 ","$65,535,067 ","$92,935,067 ",,Deuce Bigalow: Male Gigolo,,,,,#VALUE!,0
73,1-Jan-04,Barbershop 2: Back in Business,"$18,000,000 ","$65,070,412 ","$65,842,412 ",,Barbershop 2: Back in Business,,,,,#VALUE!,0
74,16-Dec-05,The Family Stone,"$18,000,000 ","$60,062,868 ","$92,357,499 ",,The Family Stone,,,,,#VALUE!,0
75,26-Nov-03,Bad Santa,"$18,000,000 ","$60,060,328 ","$77,147,031 ",,Bad Santa,,,,,#VALUE!,0
76,12-Jun-87,Predator,"$18,000,000 ","$59,735,548 ","$98,267,558 ",,Predator,,,,,#VALUE!,0
77,25-Mar-16,My Big Fat Greek Wedding 2,"$18,000,000 ","$59,689,605 ","$92,096,558 ",,My Big Fat Greek Wedding 2,,,,,#VALUE!,0
78,11-Sep-15,The Perfect Guy,"$18,000,000 ","$57,027,435 ","$60,278,166 ",,The Perfect Guy,,,,,#VALUE!,0
79,2-May-97,Austin Powers: International Man of Mystery,"$18,000,000 ","$53,883,989 ","$67,683,989 ",,Austin Powers: International Man of Mystery,,,,,#VALUE!,0
80,25-Mar-11,Diary of a Wimpy Kid: Rodrick Rules,"$18,000,000 ","$52,698,535 ","$73,695,194 ",,Diary of a Wimpy Kid: Rodrick Rules,,,,,#VALUE!,0
81,19-Sep-84,Amadeus,"$18,000,000 ","$51,973,029 ","$51,973,029 ",,Amadeus,,,,,#VALUE!,0
82,11-Apr-08,Prom Night,"$18,000,000 ","$43,869,350 ","$57,193,655 ",,Prom Night,,,,,#VALUE!,0
83,8-Apr-11,Soul Surfer,"$18,000,000 ","$43,853,424 ","$47,158,652 ",,Soul Surfer,,,,,#VALUE!,0
84,26-Sep-03,Under the Tuscan Sun,"$18,000,000 ","$43,601,508 ","$57,490,024 ",,Under the Tuscan Sun,,,,,#VALUE!,0
85,29-Jun-18,Uncle Drew,"$18,000,000 ","$42,469,946 ","$46,527,161 ",,Uncle Drew,,,,,#VALUE!,0
86,17-Oct-14,Birdman or (The Unexpected Virtue of Ignorance),"$18,000,000 ","$42,340,598 ","$103,215,094 ",,Birdman or (The Unexpected Virtue of Ignorance),,,,,#VALUE!,0
87,10-Oct-86,Peggy Sue Got Married,"$18,000,000 ","$41,382,841 ","$41,382,841 ",,Peggy Sue Got Married,,,,,#VALUE!,0
88,26-Dec-01,Gosford Park,"$18,000,000 ","$41,300,105 ","$41,300,105 ",,Gosford Park,,,,,#VALUE!,0
89,11-Jan-02,Orange County,"$18,000,000 ","$41,059,716 ","$43,308,707 ",,Orange County,,,,,#VALUE!,0
90,26-Jul-13,Blue Jasmine,"$18,000,000 ","$33,404,871 ","$102,912,961 ",,Blue Jasmine,,,,,#VALUE!,0
91,28-Apr-06,United 93,"$18,000,000 ","$31,567,134 ","$77,635,035 ",,United 93,,,,,#VALUE!,0
92,5-Dec-03,Honey,"$18,000,000 ","$30,272,254 ","$62,646,763 ",,Honey,,,,,#VALUE!,0
93,14-Oct-05,The Fog,"$18,000,000 ","$29,511,112 ","$37,048,526 ",,The Fog,,,,,#VALUE!,0
94,24-May-96,Spy Hard,"$18,000,000 ","$26,936,265 ","$26,936,265 ",,Spy Hard,,,,,#VALUE!,0
95,7-Aug-15,Ricki and the Flash,"$18,000,000 ","$26,839,498 ","$41,166,033 ",,Ricki and the Flash,,,,,#VALUE!,0
96,13-Dec-89,Glory,"$18,000,000 ","$26,593,580 ","$26,593,580 ",,Glory,,,,,#VALUE!,0
97,29-Jun-84,Conan the Destroyer,"$18,000,000 ","$26,400,000 ","$26,400,000 ",,Conan the Destroyer,,,,,#VALUE!,0
98,13-Nov-15,Love the Coopers,"$18,000,000 ","$26,302,731 ","$42,227,490 ",,Love the Coopers,,,,,#VALUE!,0
99,24-Jun-70,Catch-22,"$18,000,000 ","$24,911,670 ","$24,911,670 ",,Catch-22,,,,,#VALUE!,0
100,10-Apr-09,Observe and Report,"$18,000,000 ","$24,007,324 ","$27,148,898 ",,Observe and Report,,,,,#VALUE!,0
1,14-Nov-80,Raging Bull,"$18,000,000 ","$23,380,203 ","$23,380,203 ",,Raging Bull,,,,,#VALUE!,0
2,18-Sep-09,Love Happens,"$18,000,000 ","$22,965,110 ","$36,133,014 ",,Love Happens,,,,,#VALUE!,0
3,25-Sep-09,Fame,"$18,000,000 ","$22,455,510 ","$80,227,619 ",,Fame,,,,,#VALUE!,0
4,28-Apr-17,The Circle,"$18,000,000 ","$20,497,844 ","$40,651,864 ",,The Circle,,,,,#VALUE!,0
5,4-Dec-85,Young Sherlock Holmes,"$18,000,000 ","$19,739,000 ","$19,739,000 ",,Young Sherlock Holmes,,,,,#VALUE!,0
6,5-Nov-10,127 Hours,"$18,000,000 ","$18,335,230 ","$60,217,171 ",,127 Hours,,,,,#VALUE!,0
7,19-May-00,Small Time Crooks,"$18,000,000 ","$17,266,359 ","$29,934,477 ",,Small Time Crooks,,,,,#VALUE!,0
8,12-May-00,Center Stage,"$18,000,000 ","$17,200,925 ","$21,361,109 ",,Center Stage,,,,,#VALUE!,0
9,15-Jan-16,Norm of the North,"$18,000,000 ","$17,062,499 ","$30,535,660 ",,Norm of the North,,,,,#VALUE!,0
10,6-Feb-04,Catch That Kid,"$18,000,000 ","$16,703,799 ","$16,959,614 ",,Catch That Kid,,,,,#VALUE!,0
11,16-Aug-13,Jobs,"$18,000,000 ","$16,131,410 ","$43,402,515 ",,Jobs,,,,,#VALUE!,0
12,26-Oct-01,Life as a House,"$18,000,000 ","$15,652,637 ","$23,889,158 ",,Life as a House,,,,,#VALUE!,0
13,8-Jan-10,Youth in Revolt,"$18,000,000 ","$15,285,588 ","$19,685,588 ",,Youth in Revolt,,,,,#VALUE!,0
14,25-Jul-14,And So It Goes,"$18,000,000 ","$15,160,801 ","$17,920,013 ",,And So It Goes,,,,,#VALUE!,0
15,10-Jul-09,"I Love You, Beth Cooper","$18,000,000 ","$14,800,725 ","$16,382,538 ",,"I Love You, Beth Cooper",,,,,#VALUE!,0
16,24-Jul-81,Blow Out,"$18,000,000 ","$13,747,234 ","$13,747,234 ",,Blow Out,,,,,#VALUE!,0
17,30-Mar-01,The Tailor of Panama,"$18,000,000 ","$13,491,653 ","$27,491,653 ",,The Tailor of Panama,,,,,#VALUE!,0
18,22-May-81,The Legend of the Lone Ranger,"$18,000,000 ","$13,400,000 ","$13,400,000 ",,The Legend of the Lone Ranger,,,,,#VALUE!,0
19,31-Jan-14,Labor Day,"$18,000,000 ","$13,371,528 ","$14,189,810 ",,Labor Day,,,,,#VALUE!,0
20,30-Aug-13,Getaway,"$18,000,000 ","$10,501,938 ","$11,813,989 ",,Getaway,,,,,#VALUE!,0
21,26-Sep-97,The Ice Storm,"$18,000,000 ","$8,038,061 ","$16,011,975 ",,The Ice Storm,,,,,#VALUE!,0
22,15-Oct-04,Being Julia,"$18,000,000 ","$7,739,049 ","$14,488,705 ",,Being Julia,,,,,#VALUE!,0
23,22-Mar-89,Troop Beverly Hills,"$18,000,000 ","$7,190,505 ","$7,190,505 ",,Troop Beverly Hills,,,,,#VALUE!,0
24,21-Feb-86,Nine 1/2 Weeks,"$18,000,000 ","$6,734,844 ","$6,734,844 ",,Nine 1/2 Weeks,,,,,#VALUE!,0
25,15-Jan-10,The Last Station,"$18,000,000 ","$6,617,867 ","$15,696,146 ",,The Last Station,,,,,#VALUE!,0
26,26-Jun-81,Dragonslayer,"$18,000,000 ","$6,000,000 ","$6,000,000 ",,Dragonslayer,,,,,#VALUE!,0
27,30-Sep-94,Ed Wood,"$18,000,000 ","$5,828,466 ","$5,828,466 ",,Ed Wood,,,,,#VALUE!,0
28,6-Jun-08,Mongol,"$18,000,000 ","$5,705,761 ","$27,147,349 ",,Mongol,,,,,#VALUE!,0
29,8-Oct-08,RocknRolla,"$18,000,000 ","$5,700,626 ","$27,794,339 ",,RocknRolla,,,,,#VALUE!,0
30,25-Jun-82,Megaforce,"$18,000,000 ","$5,675,599 ","$5,675,599 ",,Megaforce,,,,,#VALUE!,0
31,20-Aug-10,Mao's Last Dancer,"$18,000,000 ","$4,806,750 ","$25,941,437 ",,Mao's Last Dancer,,,,,#VALUE!,0
32,25-Dec-96,Hamlet,"$18,000,000 ","$4,501,094 ","$7,129,670 ",,Hamlet,,,,,#VALUE!,0
33,11-Apr-14,The Railway Man,"$18,000,000 ","$4,438,438 ","$23,910,210 ",,The Railway Man,,,,,#VALUE!,0
34,29-Dec-95,Restoration,"$18,000,000 ","$4,100,000 ","$4,100,000 ",,Restoration,,,,,#VALUE!,0
35,18-Mar-16,Midnight Special,"$18,000,000 ","$3,712,282 ","$7,680,250 ",,Midnight Special,,,,,#VALUE!,0
36,25-Nov-16,Miss Sloane,"$18,000,000 ","$3,500,605 ","$7,719,630 ",,Miss Sloane,,,,,#VALUE!,0
37,27-Sep-13,Metallica Through the Never,"$18,000,000 ","$3,419,967 ","$9,082,906 ",,Metallica Through the Never,,,,,#VALUE!,0
38,19-Sep-03,Anything Else,"$18,000,000 ","$3,203,044 ","$13,203,044 ",,Anything Else,,,,,#VALUE!,0
39,23-Feb-96,Unforgettable,"$18,000,000 ","$2,483,790 ","$2,483,790 ",,Unforgettable,,,,,#VALUE!,0
40,17-Mar-17,T2: Trainspotting,"$18,000,000 ","$2,402,004 ","$42,091,262 ",,T2: Trainspotting,,,,,#VALUE!,0
41,30-Dec-09,Das Weisse Band: Eine deutsche Kindergeschichte,"$18,000,000 ","$2,222,862 ","$25,727,044 ",,Das Weisse Band: Eine deutsche Kindergeschichte,,,,,#VALUE!,0
42,25-Apr-86,8 Million Ways to Die,"$18,000,000 ","$1,305,114 ","$1,305,114 ",,8 Million Ways to Die,,,,,#VALUE!,0
43,1-Mar-13,Phantom,"$18,000,000 ","$1,034,589 ","$1,199,510 ",,Phantom,,,,,#VALUE!,0
44,26-Apr-02,The Salton Sea,"$18,000,000 ","$676,698 ","$676,698 ",,The Salton Sea,,,,,#VALUE!,0
45,24-Apr-09,The Informers,"$18,000,000 ","$315,000 ","$315,000 ",,The Informers,,,,,#VALUE!,0
46,24-Sep-99,One Man's Hero,"$18,000,000 ","$229,311 ","$229,311 ",,One Man's Hero,,,,,#VALUE!,0
47,15-Oct-10,Carlos,"$18,000,000 ","$145,526 ","$1,619,153 ",,Carlos,,,,,#VALUE!,0
48,22-Sep-06,Renaissance,"$18,000,000 ","$70,644 ","$2,401,413 ",,Renaissance,,,,,#VALUE!,0
49,31-Dec-08,I Come with the Rain,"$18,000,000 ",$0 ,"$627,422 ",,I Come with the Rain,,,,,#VALUE!,0
50,15-Apr-16,I Am Wrath,"$18,000,000 ",$0 ,"$309,608 ",,I Am Wrath,,,,,#VALUE!,0
51,14-Nov-14,Wolves,"$18,000,000 ",$0 ,"$94,953 ",,Wolves,,,,,#VALUE!,0
52,8-Apr-08,Day of the Dead,"$18,000,000 ",$0 ,$0 ,,Day of the Dead,,,,,#VALUE!,0
53,22-Aug-14,The Prince,"$18,000,000 ",$0 ,$0 ,,The Prince,,,,,#VALUE!,0
54,19-Feb-16,Forsaken,"$18,000,000 ",$0 ,$0 ,,Forsaken,,,,,#VALUE!,0
55,28-Jun-85,Red Sonja,"$17,900,000 ","$6,905,861 ","$6,908,640 ",,Red Sonja,,,,,#VALUE!,0
56,13-Jul-12,Red Lights,"$17,700,000 ","$49,521 ","$14,518,884 ",,Red Lights,,,,,#VALUE!,0
57,17-Aug-07,Superbad,"$17,500,000 ","$121,463,226 ","$169,955,142 ",,Superbad,,,,,#VALUE!,0
58,20-Feb-09,Madea Goes To Jail,"$17,500,000 ","$90,508,336 ","$90,508,336 ",,Madea Goes To Jail,,,,,#VALUE!,0
59,14-Feb-08,Step Up 2 the Streets,"$17,500,000 ","$58,017,783 ","$148,586,910 ",,Step Up 2 the Streets,,,,,#VALUE!,0
60,13-Jan-06,Hoodwinked,"$17,500,000 ","$51,386,611 ","$109,843,390 ",,Hoodwinked,,,,,#VALUE!,0
61,22-Dec-04,Hotel Rwanda,"$17,500,000 ","$23,519,128 ","$36,521,223 ",,Hotel Rwanda,,,,,#VALUE!,0
62,25-Aug-06,Beerfest,"$17,500,000 ","$19,185,184 ","$20,159,316 ",,Beerfest,,,,,#VALUE!,0
63,27-Nov-13,Black Nativity,"$17,500,000 ","$7,018,188 ","$7,285,135 ",,Black Nativity,,,,,#VALUE!,0
64,25-Apr-03,City of Ghosts,"$17,500,000 ","$325,491 ","$325,491 ",,City of Ghosts,,,,,#VALUE!,0
65,31-Dec-07,Taxi 4,"$17,500,000 ",$0 ,"$60,865,364 ",,Taxi 4,,,,,#VALUE!,0
66,6-Apr-18,A Quiet Place,"$17,000,000 ","$188,024,361 ","$334,522,294 ",,A Quiet Place,,,,,#VALUE!,0
67,10-Aug-01,The Others,"$17,000,000 ","$96,522,687 ","$207,765,056 ",,The Others,,,,,#VALUE!,0
68,18-Jul-86,Aliens,"$17,000,000 ","$85,160,248 ","$183,316,455 ",,Aliens,,,,,#VALUE!,0
69,13-Aug-14,Let's Be Cops,"$17,000,000 ","$82,390,774 ","$136,890,774 ",,Let's Be Cops,,,,,#VALUE!,0
70,17-Oct-97,I Know What You Did Last Summer,"$17,000,000 ","$72,250,091 ","$125,250,091 ",,I Know What You Did Last Summer,,,,,#VALUE!,0
71,22-Oct-64,My Fair Lady,"$17,000,000 ","$72,000,000 ","$72,071,636 ",,My Fair Lady,,,,,#VALUE!,0
72,22-Oct-04,Sideways,"$17,000,000 ","$71,502,303 ","$109,793,192 ",,Sideways,,,,,#VALUE!,0
73,15-Nov-13,The Best Man Holiday,"$17,000,000 ","$70,525,195 ","$72,835,710 ",,The Best Man Holiday,,,,,#VALUE!,0
74,13-Feb-09,Friday the 13th,"$17,000,000 ","$65,002,019 ","$92,670,237 ",,Friday the 13th,,,,,#VALUE!,0
75,28-Sep-12,Pitch Perfect,"$17,000,000 ","$65,001,093 ","$116,044,347 ",,Pitch Perfect,,,,,#VALUE!,0
76,5-Aug-98,Halloween: H2O,"$17,000,000 ","$55,041,738 ","$55,041,738 ",,Halloween: H2O,,,,,#VALUE!,0
77,5-Apr-13,Evil Dead,"$17,000,000 ","$54,239,856 ","$97,778,356 ",,Evil Dead,,,,,#VALUE!,0
78,27-Aug-04,Jet Li's Hero,"$17,000,000 ","$53,652,140 ","$177,535,958 ",,Jet Li's Hero,,,,,#VALUE!,0
79,29-Oct-10,Saw 3D,"$17,000,000 ","$45,710,178 ","$133,735,284 ",,Saw 3D,,,,,#VALUE!,0
80,20-Feb-15,"McFarland, USA","$17,000,000 ","$44,480,275 ","$45,707,924 ",,"McFarland, USA",,,,,#VALUE!,0
81,11-Nov-16,Almost Christmas,"$17,000,000 ","$42,065,185 ","$42,493,506 ",,Almost Christmas,,,,,#VALUE!,0
82,10-Mar-06,The Hills Have Eyes,"$17,000,000 ","$41,778,863 ","$70,355,813 ",,The Hills Have Eyes,,,,,#VALUE!,0
83,1-Mar-02,40 Days and 40 Nights,"$17,000,000 ","$37,939,782 ","$95,092,667 ",,40 Days and 40 Nights,,,,,#VALUE!,0
84,10-Oct-03,Good Boy!,"$17,000,000 ","$37,667,746 ","$45,312,217 ",,Good Boy!,,,,,#VALUE!,0
85,26-Jan-07,Smokin' Aces,"$17,000,000 ","$35,662,731 ","$57,263,440 ",,Smokin' Aces,,,,,#VALUE!,0
86,2-Oct-98,A Night at the Roxbury,"$17,000,000 ","$30,331,165 ","$30,331,165 ",,A Night at the Roxbury,,,,,#VALUE!,0
87,4-Mar-11,Beastly,"$17,000,000 ","$27,865,571 ","$38,028,230 ",,Beastly,,,,,#VALUE!,0
88,5-Mar-10,Brooklyn's Finest,"$17,000,000 ","$27,163,593 ","$39,233,233 ",,Brooklyn's Finest,,,,,#VALUE!,0
89,9-Jul-82,Tron,"$17,000,000 ","$26,918,576 ","$26,918,576 ",,Tron,,,,,#VALUE!,0
90,20-Aug-10,Lottery Ticket,"$17,000,000 ","$24,719,879 ","$24,719,879 ",,Lottery Ticket,,,,,#VALUE!,0
91,5-Sep-03,Dickie Roberts: Former Child Star,"$17,000,000 ","$22,734,486 ","$23,734,486 ",,Dickie Roberts: Former Child Star,,,,,#VALUE!,0
92,31-Mar-06,ATL,"$17,000,000 ","$21,170,563 ","$21,170,563 ",,ATL,,,,,#VALUE!,0
93,24-Aug-01,Summer Catch,"$17,000,000 ","$19,693,891 ","$19,693,891 ",,Summer Catch,,,,,#VALUE!,0
94,11-Dec-98,A Simple Plan,"$17,000,000 ","$16,316,273 ","$16,316,273 ",,A Simple Plan,,,,,#VALUE!,0
95,24-Mar-06,Larry the Cable Guy: Health Inspector,"$17,000,000 ","$15,680,099 ","$15,680,099 ",,Larry the Cable Guy: Health Inspector,,,,,#VALUE!,0
96,27-Nov-02,Wes Craven Presents: They,"$17,000,000 ","$12,840,842 ","$16,140,842 ",,Wes Craven Presents: They,,,,,#VALUE!,0
