id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
75,18-Jul-08,The Dark Knight,"$185,000,000 ","$533,720,947 ","$1,001,996,207 ",,The Dark Knight,,,,,#VALUE!,0
76,22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000 ","$317,101,119 ","$786,635,413 ",,Indiana Jones and the Kingdom of the Crystal Skull,,,,,#VALUE!,0
77,22-Jun-12,Brave,"$185,000,000 ","$237,282,182 ","$554,606,532 ",,Brave,,,,,#VALUE!,0
78,10-Mar-17,Kong: Skull Island,"$185,000,000 ","$168,052,812 ","$561,072,059 ",,Kong: Skull Island,,,,,#VALUE!,0
79,22-Jul-16,Star Trek Beyond,"$185,000,000 ","$158,848,340 ","$335,802,233 ",,Star Trek Beyond,,,,,#VALUE!,0
80,6-Oct-17,Blade Runner 2049,"$185,000,000 ","$92,054,159 ","$259,357,408 ",,Blade Runner 2049,,,,,#VALUE!,0
81,24-May-19,Aladdin,"$182,000,000 ","$246,734,314 ","$619,234,314 ",,Aladdin,,,,,#VALUE!,0
82,3-Nov-17,Thor: Ragnarok,"$180,000,000 ","$315,058,289 ","$846,980,024 ",,Thor: Ragnarok,,,,,#VALUE!,0
83,9-Dec-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000 ","$291,710,957 ","$720,539,572 ",,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,,#VALUE!,0
84,30-May-14,Maleficent,"$180,000,000 ","$241,407,328 ","$758,536,735 ",,Maleficent,,,,,#VALUE!,0
85,18-Nov-16,Fantastic Beasts and Where to Find Them,"$180,000,000 ","$234,037,575 ","$802,402,853 ",,Fantastic Beasts and Where to Find Them,,,,,#VALUE!,0
86,27-Jun-08,WALL-E,"$180,000,000 ","$223,808,164 ","$532,508,025 ",,WALL-E,,,,,#VALUE!,0
87,10-Aug-07,Rush Hour 3,"$180,000,000 ","$140,125,968 ","$256,585,882 ",,Rush Hour 3,,,,,#VALUE!,0
88,1-Jul-16,The Legend of Tarzan,"$180,000,000 ","$126,643,061 ","$348,902,025 ",,The Legend of Tarzan,,,,,#VALUE!,0
89,23-Nov-11,Hugo,"$180,000,000 ","$73,864,507 ","$180,047,784 ",,Hugo,,,,,#VALUE!,0
90,21-Jul-17,Valerian and the City of a Thousand Planets,"$180,000,000 ","$40,479,370 ","$215,098,356 ",,Valerian and the City of a Thousand Planets,,,,,#VALUE!,0
91,6-Feb-15,Jupiter Ascending,"$179,000,000 ","$47,482,519 ","$181,982,519 ",,Jupiter Ascending,,,,,#VALUE!,0
92,27-Jul-18,Mission: Impossible - Fallout,"$178,000,000 ","$220,159,104 ","$787,456,552 ",,Mission: Impossible - Fallout,,,,,#VALUE!,0
93,27-May-16,X-Men: Apocalypse,"$178,000,000 ","$155,442,489 ","$542,537,546 ",,X-Men: Apocalypse,,,,,#VALUE!,0
94,10-Aug-18,The Meg,"$178,000,000 ","$145,443,742 ","$529,530,715 ",,The Meg,,,,,#VALUE!,0
95,6-Jun-14,Edge of Tomorrow,"$178,000,000 ","$100,206,256 ","$370,541,256 ",,Edge of Tomorrow,,,,,#VALUE!,0
96,8-Mar-19,Captain Marvel,"$175,000,000 ","$426,525,952 ","$1,123,061,550 ",,Captain Marvel,,,,,#VALUE!,0
97,15-Apr-16,The Jungle Book,"$175,000,000 ","$364,001,123 ","$962,854,547 ",,The Jungle Book,,,,,#VALUE!,0
98,19-Jun-15,Inside Out,"$175,000,000 ","$356,461,711 ","$854,235,992 ",,Inside Out,,,,,#VALUE!,0
99,7-Jul-17,Spider-Man: Homecoming,"$175,000,000 ","$334,201,140 ","$880,166,350 ",,Spider-Man: Homecoming,,,,,#VALUE!,0
100,5-Aug-16,Suicide Squad,"$175,000,000 ","$325,100,054 ","$746,059,887 ",,Suicide Squad,,,,,#VALUE!,0
1,29-May-09,Up,"$175,000,000 ","$293,004,164 ","$731,463,377 ",,Up,,,,,#VALUE!,0
2,22-Nov-17,Coco,"$175,000,000 ","$209,726,015 ","$798,008,101 ",,Coco,,,,,#VALUE!,0
3,21-Nov-18,Ralph Breaks The Internet,"$175,000,000 ","$201,091,711 ","$524,283,695 ",,Ralph Breaks The Internet,,,,,#VALUE!,0
4,27-Mar-09,Monsters vs. Aliens,"$175,000,000 ","$198,351,526 ","$381,687,380 ",,Monsters vs. Aliens,,,,,#VALUE!,0
5,16-Jun-17,Cars 3,"$175,000,000 ","$152,901,115 ","$383,541,369 ",,Cars 3,,,,,#VALUE!,0
6,7-Aug-09,G.I. Joe: The Rise of Cobra,"$175,000,000 ","$150,201,498 ","$302,469,017 ",,G.I. Joe: The Rise of Cobra,,,,,#VALUE!,0
7,30-Jun-99,Wild Wild West,"$175,000,000 ","$113,805,681 ","$221,229,335 ",,Wild Wild West,,,,,#VALUE!,0
8,1-Aug-08,The Mummy: Tomb of the Dragon Emperor,"$175,000,000 ","$102,491,776 ","$405,760,225 ",,The Mummy: Tomb of the Dragon Emperor,,,,,#VALUE!,0
9,22-Jun-07,Evan Almighty,"$175,000,000 ","$100,289,690 ","$174,131,329 ",,Evan Almighty,,,,,#VALUE!,0
10,28-Jul-95,Waterworld,"$175,000,000 ","$88,246,220 ","$264,246,220 ",,Waterworld,,,,,#VALUE!,0
11,12-May-17,King Arthur: Legend of the Sword,"$175,000,000 ","$39,175,066 ","$139,630,336 ",,King Arthur: Legend of the Sword,,,,,#VALUE!,0
12,25-Dec-13,47 Ronin,"$175,000,000 ","$38,362,475 ","$151,716,815 ",,47 Ronin,,,,,#VALUE!,0
13,22-Jun-18,Jurassic World: Fallen Kingdom,"$170,000,000 ","$417,719,760 ","$1,305,772,799 ",,Jurassic World: Fallen Kingdom,,,,,#VALUE!,0
14,1-Aug-14,Guardians of the Galaxy,"$170,000,000 ","$333,172,112 ","$770,867,516 ",,Guardians of the Galaxy,,,,,#VALUE!,0
15,7-May-10,Iron Man 2,"$170,000,000 ","$312,433,331 ","$621,156,389 ",,Iron Man 2,,,,,#VALUE!,0
16,4-Apr-14,Captain America: The Winter Soldier,"$170,000,000 ","$259,746,958 ","$714,401,889 ",,Captain America: The Winter Soldier,,,,,#VALUE!,0
17,11-Jul-14,Dawn of the Planet of the Apes,"$170,000,000 ","$208,545,589 ","$710,644,566 ",,Dawn of the Planet of the Apes,,,,,#VALUE!,0
18,10-Nov-04,The Polar Express,"$170,000,000 ","$187,224,605 ","$311,365,187 ",,The Polar Express,,,,,#VALUE!,0
19,1-Jun-12,Snow White and the Huntsman,"$170,000,000 ","$155,136,755 ","$401,021,746 ",,Snow White and the Huntsman,,,,,#VALUE!,0
20,1-Jul-03,Terminator 3: Rise of the Machines,"$170,000,000 ","$150,358,296 ","$433,058,296 ",,Terminator 3: Rise of the Machines,,,,,#VALUE!,0
21,7-May-04,Van Helsing,"$170,000,000 ","$120,150,546 ","$300,150,546 ",,Van Helsing,,,,,#VALUE!,0
22,29-Mar-19,Dumbo,"$170,000,000 ","$113,883,318 ","$345,004,422 ",,Dumbo,,,,,#VALUE!,0
23,22-May-15,Tomorrowland,"$170,000,000 ","$93,436,322 ","$206,627,518 ",,Tomorrowland,,,,,#VALUE!,0
24,14-Feb-19,Alita: Battle Angel,"$170,000,000 ","$85,710,210 ","$402,976,036 ",,Alita: Battle Angel,,,,,#VALUE!,0
25,31-May-19,Godzilla: King of the Monsters,"$170,000,000 ","$85,576,941 ","$299,276,941 ",,Godzilla: King of the Monsters,,,,,#VALUE!,0
26,27-May-16,Alice Through the Looking Glass,"$170,000,000 ","$77,042,381 ","$276,928,112 ",,Alice Through the Looking Glass,,,,,#VALUE!,0
27,21-May-10,Shrek Forever After,"$165,000,000 ","$238,736,787 ","$756,244,673 ",,Shrek Forever After,,,,,#VALUE!,0
28,4-Nov-16,Doctor Strange,"$165,000,000 ","$232,641,920 ","$676,404,566 ",,Doctor Strange,,,,,#VALUE!,0
29,7-Nov-14,Big Hero 6,"$165,000,000 ","$222,527,828 ","$652,127,828 ",,Big Hero 6,,,,,#VALUE!,0
30,26-Mar-10,How to Train Your Dragon,"$165,000,000 ","$217,581,232 ","$494,870,992 ",,How to Train Your Dragon,,,,,#VALUE!,0
31,2-Nov-12,Wreck-It Ralph,"$165,000,000 ","$189,412,677 ","$496,511,521 ",,Wreck-It Ralph,,,,,#VALUE!,0
32,5-Nov-14,Interstellar,"$165,000,000 ","$188,017,894 ","$666,379,375 ",,Interstellar,,,,,#VALUE!,0
33,24-Jun-16,Independence Day: Resurgence,"$165,000,000 ","$103,144,286 ","$384,169,424 ",,Independence Day: Resurgence,,,,,#VALUE!,0
34,29-Jul-11,Cowboys and Aliens,"$163,000,000 ","$100,368,560 ","$176,038,324 ",,Cowboys and Aliens,,,,,#VALUE!,0
35,17-Mar-17,Beauty and the Beast,"$160,000,000 ","$504,014,165 ","$1,259,199,706 ",,Beauty and the Beast,,,,,#VALUE!,0
36,21-Dec-18,Aquaman,"$160,000,000 ","$335,061,807 ","$1,146,894,640 ",,Aquaman,,,,,#VALUE!,0
37,17-May-07,Shrek the Third,"$160,000,000 ","$322,719,944 ","$807,330,936 ",,Shrek the Third,,,,,#VALUE!,0
38,16-Jul-10,Inception,"$160,000,000 ","$292,576,195 ","$835,524,642 ",,Inception,,,,,#VALUE!,0
